source_type,title,category,subcategory,reference,price,price_min,price_max,currency,unit,dimensions,tile_m2,city,supplier,in_stock,description,listing_url,scraped_at,price_norm,price_min_norm,price_max_norm
blog_article,Réalisation de plancher en poutrelles – hourdis polystyrène de 16 cm d’épaisseur environ Tunis,construction,,,12.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/guide-des-prix-maconnerie-prix-travaux-de-gros-oeuvre-tunisie/,2026-04-05 09:40:52.686760,1.5234591941454847e-05,,
blog_article,"Pour un agrandissement de maison latéral à Tunis , prévoyez un budget compris",construction,,,3150.0,2500.0,3800.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 2500.0 – 3800.0 DT/unité,https://www.sm-devis.tn/tarifs-construction-extension-agrandissement-maison-tunis/,2026-04-05 09:42:32.374100,0.004361248183967392,0.00047140279019897195,0.013099364549094687
blog_article,2 800 dt/m,construction,,,1901.0,2.0,3800.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 2.0 – 3800.0 DT/unité,https://www.sm-devis.tn/tarifs-construction-extension-agrandissement-maison-tunis/,2026-04-05 09:42:32.374100,0.002631429517160383,1.8863657070787194e-07,0.013099364549094687
blog_article,en moyenne entre 950 dt/m,construction,,,951.0,2.0,1900.0,TND,m²,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 2.0 – 1900.0 DT/m²,https://www.sm-devis.tn/tarifs-construction-extension-agrandissement-maison-tunis/,2026-04-05 09:42:32.374100,0.0013157147585801914,1.8863657070787194e-07,0.006547613300468829
blog_article,Extension en parpaings,construction,,,37852.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Extension en parpaings,https://www.sm-devis.tn/tarifs-construction-extension-agrandissement-maison-tunis/,2026-04-05 09:42:32.368103,0.052422230870546135,,
blog_article,"Réalisation de voile en béton armé de 20 cm environ  Tunis Compris : coffrage, armature, béton.",construction,,,10.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,,https://www.sm-devis.tn/guide-des-prix-maconnerie-prix-travaux-de-gros-oeuvre-tunisie/,2026-04-05 09:40:52.686760,1.2464666133917603e-05,,
blog_article,Extension en ossature métallique Tunis,construction,,,24502.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Extension en ossature métallique Tunis,https://www.sm-devis.tn/tarifs-construction-extension-agrandissement-maison-tunis/,2026-04-05 09:42:32.368103,0.03393297610523502,,
blog_article,Extension en ossature bois Tunis,construction,,,16502.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Extension en ossature bois Tunis,https://www.sm-devis.tn/tarifs-construction-extension-agrandissement-maison-tunis/,2026-04-05 09:42:32.368103,0.02285327287508604,,
blog_article,Extension en parpaings Tunis,construction,,,21502.0,,,TND,m²,,,Tunis,SM Devis (source blog),True,Extension en parpaings Tunis,https://www.sm-devis.tn/tarifs-construction-extension-agrandissement-maison-tunis/,2026-04-05 09:42:32.367101,0.029778087393929155,,
blog_article,-----------Par versement libreUne somme uniqueIndifférentDurée désirée de votre épargne ? *-------------Entre 0 et 4 ans,construction,,,6.0,4.0,8.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 4.0 – 8.0 DT/unité,https://www.sm-devis.tn/category/devis-travaux-et-batiment/,2026-04-05 09:34:38.365878,6.9248145188431126e-06,5.659097121236158e-07,2.3448372889818856e-05
blog_article,jet Etat de bien *--Séléctionnez--NeufAncienDélai de réalisation de vos travaux *--Séléctionnez--ImmédiatMoins d'un mois,construction,,,2.0,1.0,3.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 1.0 – 3.0 DT/unité,https://www.sm-devis.tn/category/devis-travaux-et-batiment/,2026-04-05 09:34:38.365878,1.3849629037686226e-06,0.0,6.206922235540285e-06
blog_article,*--Séléctionnez--NeufAncienDélai de réalisation de vos travaux *--Séléctionnez--ImmédiatMoins d'un moisEntre 1 et 3 mois,construction,,,4.5,3.0,6.0,TND,unité,,,Tunis,SM Devis (source blog),True,Fourchette estimée : 3.0 – 6.0 DT/unité,https://www.sm-devis.tn/category/devis-travaux-et-batiment/,2026-04-05 09:34:38.365878,4.847370163190179e-06,3.772731414157439e-07,1.6551792628107427e-05
